Place 1;Place 2;Distance (km)
Cumberland City Council;Kempsey Shire;14505.35
Cumberland City Council;Kiama, Municipality of;7411.59
Cumberland City Council;Ku-ring-gai Council;798.0
Cumberland City Council;Kyogle Council;798.0
Cumberland City Council;Lachlan Shire;12039.55
Cumberland City Council;Lake Macquarie, City of;7411.59
Cumberland City Council;Lane Cove, Municipality of;7411.59
Cumberland City Council;Leeton Shire;12039.55
Cumberland City Council;Lismore, City of;7411.59
Cumberland City Council;Lithgow, City of;7411.59
Cumberland City Council;Liverpool, City of;7411.59
Cumberland City Council;Liverpool Plains Shire;12039.55
Cumberland City Council;Lockhart Shire;12039.55
Cumberland City Council;Lord Howe Island;13961.42
Cumberland City Council;Maitland, City of;7411.59
Cumberland City Council;Mid-Coast Council;798.0
Cumberland City Council;Mid-Western Regional;14817.92
Cumberland City Council;Moree Plains Shire;14677.96
Cumberland City Council;Mosman Council;14735.71
Cumberland City Council;Murray River Council;798.0
Cumberland City Council;Murrumbidgee Council;15257.9
Cumberland City Council;Muswellbrook Shire;12039.55
Cumberland City Council;Nambucca Shire;14468.42
Cumberland City Council;Narrandera Shire;12039.55
Cumberland City Council;Narrabri Shire;12039.55
Cumberland City Council;Narromine Shire;12039.55
Cumberland City Council;Newcastle, City of;14652.6
Cumberland City Council;Northern Beaches Council;798.0
Cumberland City Council;North Sydney Council;798.0
Cumberland City Council;Oberon Shire;12039.55
Cumberland City Council;Orange, City of;1262.12
Cumberland City Council;Parkes Shire;12039.55
Cumberland City Council;Parramatta Council, City of;14755.5
Cumberland City Council;Penrith, City of;7411.59
Cumberland City Council;Port Macquarie-Hastings Council;14519.85
Cumberland City Council;Port Stephens Council;798.0
Cumberland City Council;Queanbeyan-Palerang Regional Council;13474.45
Cumberland City Council;Randwick, City of;14738.87
Cumberland City Council;Richmond Valley Council;798.0
Cumberland City Council;Ryde, City of;14746.18
Cumberland City Council;Singleton Council;798.0
Cumberland City Council;Shellharbour, City of;14797.14
Cumberland City Council;Shoalhaven, City of;7411.59
Cumberland City Council;Snowy Monaro Regional Council;15032.23
Cumberland City Council;Snowy Valleys Council;798.0
Cumberland City Council;Strathfield, Municipality of;14751.38
Cumberland City Council;Sutherland Shire;14766.41
Cumberland City Council;Sydney, City of;7411.59
Cumberland City Council;Tamworth Regional Council;798.0
Cumberland City Council;Temora Shire;12039.55
Cumberland City Council;Tenterfield Shire;12039.55
Cumberland City Council;Tweed Shire;14313.4
Cumberland City Council;Unincorporated Far West;579.0
Cumberland City Council;Upper Hunter Shire;14669.02
Cumberland City Council;Upper Lachlan Shire;14914.6
Cumberland City Council;Uralla Shire;12039.55
Cumberland City Council;Wagga Wagga, City of;15118.63
Cumberland City Council;Walcha Shire;12039.55
Cumberland City Council;Walgett Shire;12039.55
Cumberland City Council;Warren Shire;12039.55
Cumberland City Council;Warrumbungle Shire;14793.42
Cumberland City Council;Waverley Council;798.0
Cumberland City Council;Weddin Shire;12039.55
Cumberland City Council;Wentworth Shire;12039.55
Cumberland City Council;Willoughby, City of;14738.47
Cumberland City Council;Wingecarribee Shire;12039.55
Cumberland City Council;Wollondilly Shire;12039.55
Cumberland City Council;Wollongong, City of;14788.94
Cumberland City Council;Woollahra, Municipality of;7411.59
Cumberland City Council;Yass Valley Council;14986.65
Dubbo Regional Council;Dungog Shire;12733.64
Dubbo Regional Council;Edward River Council;15208.04
Dubbo Regional Council;Eurobodalla Shire;430.42
Dubbo Regional Council;Fairfield, City of;16176.66
Dubbo Regional Council;Federation Council;15208.04
Dubbo Regional Council;Forbes Shire;12733.64
Dubbo Regional Council;Georges River Council;15208.04
Dubbo Regional Council;Gilgandra Shire;69.06
Dubbo Regional Council;Glen Innes Severn Council;421.91
Dubbo Regional Council;Goulburn Mulwaree Council;313.97
Dubbo Regional Council;Greater Hume Shire;410.36
Dubbo Regional Council;Griffith, City of;16176.66
Dubbo Regional Council;Gunnedah Shire;12733.64
Dubbo Regional Council;Gwydir Shire;12733.64
Dubbo Regional Council;Hawkesbury, City of;16176.66
Dubbo Regional Council;Hay Shire;12733.64
Dubbo Regional Council;Hills Shire, The;279.68
Dubbo Regional Council;Hilltops Council;15208.04
Dubbo Regional Council;Hornsby Shire;12733.64
Dubbo Regional Council;Hunter's Hill, Municipality of;15233.16
Dubbo Regional Council;Inner West Council;15208.04
Dubbo Regional Council;Inverell Shire;12733.64
Dubbo Regional Council;Junee Shire;12733.64
Dubbo Regional Council;Kempsey Shire;396.13
Dubbo Regional Council;Kiama, Municipality of;16176.66
Dubbo Regional Council;Ku-ring-gai Council;15208.04
Dubbo Regional Council;Kyogle Council;15208.04
Dubbo Regional Council;Lachlan Shire;12733.64
Dubbo Regional Council;Lake Macquarie, City of;16176.66
Dubbo Regional Council;Lane Cove, Municipality of;16176.66
Dubbo Regional Council;Leeton Shire;12733.64
Dubbo Regional Council;Lismore, City of;16176.66
Dubbo Regional Council;Lithgow, City of;16176.66
Dubbo Regional Council;Liverpool, City of;16176.66
Dubbo Regional Council;Liverpool Plains Shire;12733.64
Dubbo Regional Council;Lockhart Shire;12733.64
Dubbo Regional Council;Lord Howe Island;991.48
Dubbo Regional Council;Maitland, City of;16176.66
Dubbo Regional Council;Mid-Coast Council;15208.04
Dubbo Regional Council;Mid-Western Regional;112.5
Dubbo Regional Council;Moree Plains Shire;354.09
Dubbo Regional Council;Mosman Council;301.74
Dubbo Regional Council;Murray River Council;15208.04
Dubbo Regional Council;Murrumbidgee Council;388.91
Dubbo Regional Council;Muswellbrook Shire;12733.64
Dubbo Regional Council;Nambucca Shire;433.05
Dubbo Regional Council;Narrandera Shire;12733.64
Dubbo Regional Council;Narrabri Shire;12733.64
Dubbo Regional Council;Narromine Shire;12733.64
Dubbo Regional Council;Newcastle, City of;306.67
Dubbo Regional Council;Northern Beaches Council;15208.04
Dubbo Regional Council;North Sydney Council;15208.04
Dubbo Regional Council;Oberon Shire;12733.64
Dubbo Regional Council;Orange, City of;16111.49
Dubbo Regional Council;Parkes Shire;12733.64
Dubbo Regional Council;Parramatta Council, City of;283.08
Dubbo Regional Council;Penrith, City of;16176.66
Dubbo Regional Council;Port Macquarie-Hastings Council;385.5
Dubbo Regional Council;Port Stephens Council;15208.04
Dubbo Regional Council;Queanbeyan-Palerang Regional Council;2370.93
Dubbo Regional Council;Randwick, City of;307.06
Dubbo Regional Council;Richmond Valley Council;15208.04
Dubbo Regional Council;Ryde, City of;290.88
Dubbo Regional Council;Singleton Council;15208.04
Dubbo Regional Council;Shellharbour, City of;332.92
Dubbo Regional Council;Shoalhaven, City of;16176.66
Dubbo Regional Council;Snowy Monaro Regional Council;464.6
Dubbo Regional Council;Snowy Valleys Council;15208.04
Dubbo Regional Council;Strathfield, Municipality of;293.36
Dubbo Regional Council;Sutherland Shire;301.49
Dubbo Regional Council;Sydney, City of;16176.66
Dubbo Regional Council;Tamworth Regional Council;15208.04
Dubbo Regional Council;Temora Shire;12733.64
Dubbo Regional Council;Tenterfield Shire;12733.64
Dubbo Regional Council;Tweed Shire;626.03
Dubbo Regional Council;Unincorporated Far West;15473.15
Dubbo Regional Council;Upper Hunter Shire;237.98
Dubbo Regional Council;Upper Lachlan Shire;245.92
Dubbo Regional Council;Uralla Shire;12733.64
Dubbo Regional Council;Wagga Wagga, City of;338.29
Dubbo Regional Council;Walcha Shire;12733.64
Dubbo Regional Council;Walgett Shire;12733.64
Dubbo Regional Council;Warren Shire;12733.64
Dubbo Regional Council;Warrumbungle Shire;119.38
Dubbo Regional Council;Waverley Council;15208.04
Dubbo Regional Council;Weddin Shire;12733.64
Dubbo Regional Council;Wentworth Shire;12733.64
Dubbo Regional Council;Willoughby, City of;297.06
Dubbo Regional Council;Wingecarribee Shire;12733.64
Dubbo Regional Council;Wollondilly Shire;12733.64
Dubbo Regional Council;Wollongong, City of;322.04
Dubbo Regional Council;Woollahra, Municipality of;16176.66
Dubbo Regional Council;Yass Valley Council;305.39
Dungog Shire;Edward River Council;11970.29
Dungog Shire;Eurobodalla Shire;12857.49
Dungog Shire;Fairfield, City of;4800.14
Dungog Shire;Federation Council;11970.29
Dungog Shire;Forbes Shire;0.0
Dungog Shire;Georges River Council;11970.29
Dungog Shire;Gilgandra Shire;12739.17
Dungog Shire;Glen Innes Severn Council;13040.52
Dungog Shire;Goulburn Mulwaree Council;12846.15
Dungog Shire;Greater Hume Shire;12610.9
Dungog Shire;Griffith, City of;4800.14
Dungog Shire;Gunnedah Shire;0.0
Dungog Shire;Gwydir Shire;0.0
Dungog Shire;Hawkesbury, City of;4800.14
Dungog Shire;Hay Shire;0.0
Dungog Shire;Hills Shire, The;12959.01
Dungog Shire;Hilltops Council;11970.29
Dungog Shire;Hornsby Shire;0.0
Dungog Shire;Hunter's Hill, Municipality of;11644.07
Dungog Shire;Inner West Council;11970.29
Dungog Shire;Inverell Shire;0.0
Dungog Shire;Junee Shire;0.0
Dungog Shire;Kempsey Shire;13099.81
Dungog Shire;Kiama, Municipality of;4800.14
Dungog Shire;Ku-ring-gai Council;11970.29
Dungog Shire;Kyogle Council;11970.29
Dungog Shire;Lachlan Shire;0.0
Dungog Shire;Lake Macquarie, City of;4800.14
Dungog Shire;Lane Cove, Municipality of;4800.14
Dungog Shire;Leeton Shire;0.0
Dungog Shire;Lismore, City of;4800.14
Dungog Shire;Lithgow, City of;4800.14
Dungog Shire;Liverpool, City of;4800.14
Dungog Shire;Liverpool Plains Shire;0.0
Dungog Shire;Lockhart Shire;0.0
Dungog Shire;Lord Howe Island;13723.33
Dungog Shire;Maitland, City of;4800.14
Dungog Shire;Mid-Coast Council;11970.29
Dungog Shire;Mid-Western Regional;12839.76
Dungog Shire;Moree Plains Shire;12820.17
Dungog Shire;Mosman Council;12980.71
Dungog Shire;Murray River Council;11970.29
Dungog Shire;Murrumbidgee Council;12460.67
Dungog Shire;Muswellbrook Shire;0.0
Dungog Shire;Nambucca Shire;13128.08
Dungog Shire;Narrandera Shire;0.0
Dungog Shire;Narrabri Shire;0.0
Dungog Shire;Narromine Shire;0.0
Dungog Shire;Newcastle, City of;13031.73
Dungog Shire;Northern Beaches Council;11970.29
Dungog Shire;North Sydney Council;11970.29
Dungog Shire;Oberon Shire;0.0
Dungog Shire;Orange, City of;10787.22
Dungog Shire;Parkes Shire;0.0
Dungog Shire;Parramatta Council, City of;12958.91
Dungog Shire;Penrith, City of;4800.14
Dungog Shire;Port Macquarie-Hastings Council;13106.19
Dungog Shire;Port Stephens Council;11970.29
Dungog Shire;Queanbeyan-Palerang Regional Council;14515.99
Dungog Shire;Randwick, City of;12980.67
Dungog Shire;Richmond Valley Council;11970.29
Dungog Shire;Ryde, City of;12968.79
Dungog Shire;Singleton Council;11970.29
Dungog Shire;Shellharbour, City of;12945.2
Dungog Shire;Shoalhaven, City of;4800.14
Dungog Shire;Snowy Monaro Regional Council;12764.7
Dungog Shire;Snowy Valleys Council;11970.29
Dungog Shire;Strathfield, Municipality of;12966.08
Dungog Shire;Sutherland Shire;12958.13
Dungog Shire;Sydney, City of;4800.14
Dungog Shire;Tamworth Regional Council;11970.29
Dungog Shire;Temora Shire;0.0
Dungog Shire;Tenterfield Shire;0.0
Dungog Shire;Tweed Shire;13176.16
Dungog Shire;Unincorporated Far West;11475.95
Dungog Shire;Upper Hunter Shire;12967.61
Dungog Shire;Upper Lachlan Shire;12811.59
Dungog Shire;Uralla Shire;0.0
Dungog Shire;Wagga Wagga, City of;12625.5
Dungog Shire;Walcha Shire;0.0
Dungog Shire;Walgett Shire;0.0
Dungog Shire;Warren Shire;0.0
Dungog Shire;Warrumbungle Shire;12812.37
Dungog Shire;Waverley Council;11970.29
Dungog Shire;Weddin Shire;0.0
Dungog Shire;Wentworth Shire;0.0
Dungog Shire;Willoughby, City of;12976.82
Dungog Shire;Wingecarribee Shire;0.0
Dungog Shire;Wollondilly Shire;0.0
Dungog Shire;Wollongong, City of;12948.04
Dungog Shire;Woollahra, Municipality of;4800.14
Dungog Shire;Yass Valley Council;12760.18
Edward River Council;Eurobodalla Shire;15163.33
Edward River Council;Fairfield, City of;7542.28
Edward River Council;Federation Council;0.0
Edward River Council;Forbes Shire;11970.29
Edward River Council;Georges River Council;0.0
Edward River Council;Gilgandra Shire;15185.89
Edward River Council;Glen Innes Severn Council;14835.99
Edward River Council;Goulburn Mulwaree Council;15156.63
Edward River Council;Greater Hume Shire;15403.95
Edward River Council;Griffith, City of;7542.28
Edward River Council;Gunnedah Shire;11970.29
Edward River Council;Gwydir Shire;11970.29
Edward River Council;Hawkesbury, City of;7542.28
Edward River Council;Hay Shire;11970.29
Edward River Council;Hills Shire, The;15023.21
Edward River Council;Hilltops Council;0.0
Edward River Council;Hornsby Shire;11970.29
Edward River Council;Hunter's Hill, Municipality of;941.32
Edward River Council;Inner West Council;0.0
Edward River Council;Inverell Shire;11970.29
Edward River Council;Junee Shire;11970.29
Edward River Council;Kempsey Shire;14815.95
Edward River Council;Kiama, Municipality of;7542.28
Edward River Council;Ku-ring-gai Council;0.0
Edward River Council;Kyogle Council;0.0
Edward River Council;Lachlan Shire;11970.29
Edward River Council;Lake Macquarie, City of;7542.28
Edward River Council;Lane Cove, Municipality of;7542.28
Edward River Council;Leeton Shire;11970.29
Edward River Council;Lismore, City of;7542.28
Edward River Council;Lithgow, City of;7542.28
Edward River Council;Liverpool, City of;7542.28
Edward River Council;Liverpool Plains Shire;11970.29
Edward River Council;Lockhart Shire;11970.29
Edward River Council;Lord Howe Island;14230.54
Edward River Council;Maitland, City of;7542.28
Edward River Council;Mid-Coast Council;0.0
Edward River Council;Mid-Western Regional;15113.35
Edward River Council;Moree Plains Shire;15031.21
Edward River Council;Mosman Council;15003.36
Edward River Council;Murray River Council;0.0
Edward River Council;Murrumbidgee Council;15532.86
Edward River Council;Muswellbrook Shire;11970.29
Edward River Council;Nambucca Shire;14781.56
Edward River Council;Narrandera Shire;11970.29
Edward River Council;Narrabri Shire;11970.29
Edward River Council;Narromine Shire;11970.29
Edward River Council;Newcastle, City of;14933.48
Edward River Council;Northern Beaches Council;0.0
Edward River Council;North Sydney Council;0.0
Edward River Council;Oberon Shire;11970.29
Edward River Council;Orange, City of;1353.76
Edward River Council;Parkes Shire;11970.29
Edward River Council;Parramatta Council, City of;15024.4
Edward River Council;Penrith, City of;7542.28
Edward River Council;Port Macquarie-Hastings Council;14822.6
Edward River Council;Port Stephens Council;0.0
Edward River Council;Queanbeyan-Palerang Regional Council;13502.98
Edward River Council;Randwick, City of;15005.09
Edward River Council;Richmond Valley Council;0.0
Edward River Council;Ryde, City of;15014.67
Edward River Council;Singleton Council;0.0
Edward River Council;Shellharbour, City of;15053.15
Edward River Council;Shoalhaven, City of;7542.28
Edward River Council;Snowy Monaro Regional Council;15261.86
Edward River Council;Snowy Valleys Council;0.0
Edward River Council;Strathfield, Municipality of;15018.78
Edward River Council;Sutherland Shire;15030.68
Edward River Council;Sydney, City of;7542.28
Edward River Council;Tamworth Regional Council;0.0
Edward River Council;Temora Shire;11970.29
Edward River Council;Tenterfield Shire;11970.29
Edward River Council;Tweed Shire;14660.58
Edward River Council;Unincorporated Far West;834.7
Edward River Council;Upper Hunter Shire;14970.42
Edward River Council;Upper Lachlan Shire;15180.34
Edward River Council;Uralla Shire;11970.29
Edward River Council;Wagga Wagga, City of;15378.39
Edward River Council;Walcha Shire;11970.29
Edward River Council;Walgett Shire;11970.29
Edward River Council;Warren Shire;11970.29
Edward River Council;Warrumbungle Shire;15109.75
Edward River Council;Waverley Council;0.0
Edward River Council;Weddin Shire;11970.29
Edward River Council;Wentworth Shire;11970.29
Edward River Council;Willoughby, City of;15006.69
Edward River Council;Wingecarribee Shire;11970.29
Edward River Council;Wollondilly Shire;11970.29
Edward River Council;Wollongong, City of;15047.49
Edward River Council;Woollahra, Municipality of;7542.28
Edward River Council;Yass Valley Council;15243.1
Eurobodalla Shire;Fairfield, City of;16538.83
Eurobodalla Shire;Federation Council;15163.33
Eurobodalla Shire;Forbes Shire;12857.49
Eurobodalla Shire;Georges River Council;15163.33
Eurobodalla Shire;Gilgandra Shire;495.01
Eurobodalla Shire;Glen Innes Severn Council;719.26
Eurobodalla Shire;Goulburn Mulwaree Council;119.28
Eurobodalla Shire;Greater Hume Shire;247.77
Eurobodalla Shire;Griffith, City of;16538.83
Eurobodalla Shire;Gunnedah Shire;12857.49
Eurobodalla Shire;Gwydir Shire;12857.49
Eurobodalla Shire;Hawkesbury, City of;16538.83
Eurobodalla Shire;Hay Shire;12857.49
Eurobodalla Shire;Hills Shire, The;264.2
Eurobodalla Shire;Hilltops Council;15163.33
Eurobodalla Shire;Hornsby Shire;12857.49
Eurobodalla Shire;Hunter's Hill, Municipality of;15281.14
Eurobodalla Shire;Inner West Council;15163.33
Eurobodalla Shire;Inverell Shire;12857.49
Eurobodalla Shire;Junee Shire;12857.49
Eurobodalla Shire;Kempsey Shire;607.3
Eurobodalla Shire;Kiama, Municipality of;16538.83
Eurobodalla Shire;Ku-ring-gai Council;15163.33
Eurobodalla Shire;Kyogle Council;15163.33
Eurobodalla Shire;Lachlan Shire;12857.49
Eurobodalla Shire;Lake Macquarie, City of;16538.83
Eurobodalla Shire;Lane Cove, Municipality of;16538.83
Eurobodalla Shire;Leeton Shire;12857.49
Eurobodalla Shire;Lismore, City of;16538.83
Eurobodalla Shire;Lithgow, City of;16538.83
Eurobodalla Shire;Liverpool, City of;16538.83
Eurobodalla Shire;Liverpool Plains Shire;12857.49
Eurobodalla Shire;Lockhart Shire;12857.49
Eurobodalla Shire;Lord Howe Island;977.92
Eurobodalla Shire;Maitland, City of;16538.83
Eurobodalla Shire;Mid-Coast Council;15163.33
Eurobodalla Shire;Mid-Western Regional;373.87
Eurobodalla Shire;Moree Plains Shire;753.56
Eurobodalla Shire;Mosman Council;266.24
Eurobodalla Shire;Murray River Council;15163.33
Eurobodalla Shire;Murrumbidgee Council;420.91
Eurobodalla Shire;Muswellbrook Shire;12857.49
Eurobodalla Shire;Nambucca Shire;643.53
Eurobodalla Shire;Narrandera Shire;12857.49
Eurobodalla Shire;Narrabri Shire;12857.49
Eurobodalla Shire;Narromine Shire;12857.49
Eurobodalla Shire;Newcastle, City of;378.4
Eurobodalla Shire;Northern Beaches Council;15163.33
Eurobodalla Shire;North Sydney Council;15163.33
Eurobodalla Shire;Oberon Shire;12857.49
Eurobodalla Shire;Orange, City of;16169.75
Eurobodalla Shire;Parkes Shire;12857.49
Eurobodalla Shire;Parramatta Council, City of;258.82
Eurobodalla Shire;Penrith, City of;16538.83
Eurobodalla Shire;Port Macquarie-Hastings Council;562.88
Eurobodalla Shire;Port Stephens Council;15163.33
Eurobodalla Shire;Queanbeyan-Palerang Regional Council;2033.76
Eurobodalla Shire;Randwick, City of;258.17
Eurobodalla Shire;Richmond Valley Council;15163.33
Eurobodalla Shire;Ryde, City of;262.9
Eurobodalla Shire;Singleton Council;15163.33
Eurobodalla Shire;Shellharbour, City of;176.45
Eurobodalla Shire;Shoalhaven, City of;16538.83
Eurobodalla Shire;Snowy Monaro Regional Council;105.27
Eurobodalla Shire;Snowy Valleys Council;15163.33
Eurobodalla Shire;Strathfield, Municipality of;254.8
Eurobodalla Shire;Sutherland Shire;231.48
Eurobodalla Shire;Sydney, City of;16538.83
Eurobodalla Shire;Tamworth Regional Council;15163.33
Eurobodalla Shire;Temora Shire;12857.49
Eurobodalla Shire;Tenterfield Shire;12857.49
Eurobodalla Shire;Tweed Shire;903.86
Eurobodalla Shire;Unincorporated Far West;15506.77
Eurobodalla Shire;Upper Hunter Shire;465.17
Eurobodalla Shire;Upper Lachlan Shire;184.67
Eurobodalla Shire;Uralla Shire;12857.49
Eurobodalla Shire;Wagga Wagga, City of;250.58
Eurobodalla Shire;Walcha Shire;12857.49
Eurobodalla Shire;Walgett Shire;12857.49
Eurobodalla Shire;Warren Shire;12857.49
Eurobodalla Shire;Warrumbungle Shire;502.38
Eurobodalla Shire;Waverley Council;15163.33
Eurobodalla Shire;Weddin Shire;12857.49
Eurobodalla Shire;Wentworth Shire;12857.49
Eurobodalla Shire;Willoughby, City of;266.82
Eurobodalla Shire;Wingecarribee Shire;12857.49
Eurobodalla Shire;Wollondilly Shire;12857.49
Eurobodalla Shire;Wollongong, City of;192.39
Eurobodalla Shire;Woollahra, Municipality of;16538.83
Eurobodalla Shire;Yass Valley Council;146.09
Fairfield, City of;Federation Council;7542.28
Fairfield, City of;Forbes Shire;4800.14
Fairfield, City of;Georges River Council;7542.28
Fairfield, City of;Gilgandra Shire;16135.19
Fairfield, City of;Glen Innes Severn Council;16200.48
Fairfield, City of;Goulburn Mulwaree Council;16453.62
Fairfield, City of;Greater Hume Shire;16331.36
Fairfield, City of;Griffith, City of;0.0
Fairfield, City of;Gunnedah Shire;4800.14
Fairfield, City of;Gwydir Shire;4800.14
Fairfield, City of;Hawkesbury, City of;0.0
Fairfield, City of;Hay Shire;4800.14
Fairfield, City of;Hills Shire, The;16455.05
Fairfield, City of;Hilltops Council;7542.28
Fairfield, City of;Hornsby Shire;4800.14
Fairfield, City of;Hunter's Hill, Municipality of;7008.02
Fairfield, City of;Inner West Council;7542.28
Fairfield, City of;Inverell Shire;4800.14
Fairfield, City of;Junee Shire;4800.14
Fairfield, City of;Kempsey Shire;16339.14
Fairfield, City of;Kiama, Municipality of;0.0
Fairfield, City of;Ku-ring-gai Council;7542.28
Fairfield, City of;Kyogle Council;7542.28
Fairfield, City of;Lachlan Shire;4800.14
Fairfield, City of;Lake Macquarie, City of;0.0
Fairfield, City of;Lane Cove, Municipality of;0.0
Fairfield, City of;Leeton Shire;4800.14
Fairfield, City of;Lismore, City of;0.0
Fairfield, City of;Lithgow, City of;0.0
Fairfield, City of;Liverpool, City of;0.0
Fairfield, City of;Liverpool Plains Shire;4800.14
Fairfield, City of;Lockhart Shire;4800.14
Fairfield, City of;Lord Howe Island;16815.65
Fairfield, City of;Maitland, City of;0.0
Fairfield, City of;Mid-Coast Council;7542.28
Fairfield, City of;Mid-Western Regional;16280.78
Fairfield, City of;Moree Plains Shire;16008.07
Fairfield, City of;Mosman Council;16476.24
Fairfield, City of;Murray River Council;7542.28
Fairfield, City of;Murrumbidgee Council;16140.92
Fairfield, City of;Muswellbrook Shire;4800.14
Fairfield, City of;Nambucca Shire;16339.29
Fairfield, City of;Narrandera Shire;4800.14
Fairfield, City of;Narrabri Shire;4800.14
Fairfield, City of;Narromine Shire;4800.14
Fairfield, City of;Newcastle, City of;16445.28
Fairfield, City of;Northern Beaches Council;7542.28
Fairfield, City of;North Sydney Council;7542.28
Fairfield, City of;Oberon Shire;4800.14
Fairfield, City of;Orange, City of;6225.91
Fairfield, City of;Parkes Shire;4800.14
Fairfield, City of;Parramatta Council, City of;16458.86
Fairfield, City of;Penrith, City of;0.0
Fairfield, City of;Port Macquarie-Hastings Council;16380.12
Fairfield, City of;Port Stephens Council;7542.28
Fairfield, City of;Queanbeyan-Palerang Regional Council;18533.09
Fairfield, City of;Randwick, City of;16482.34
Fairfield, City of;Richmond Valley Council;7542.28
Fairfield, City of;Ryde, City of;16466.06
Fairfield, City of;Singleton Council;7542.28
Fairfield, City of;Shellharbour, City of;16505.42
Fairfield, City of;Shoalhaven, City of;0.0
Fairfield, City of;Snowy Monaro Regional Council;16498.29
Fairfield, City of;Snowy Valleys Council;7542.28
Fairfield, City of;Strathfield, Municipality of;16469.22
Fairfield, City of;Sutherland Shire;16478.15
Fairfield, City of;Sydney, City of;0.0
Fairfield, City of;Tamworth Regional Council;7542.28
Fairfield, City of;Temora Shire;4800.14
Fairfield, City of;Tenterfield Shire;4800.14
Fairfield, City of;Tweed Shire;16182.75
Fairfield, City of;Unincorporated Far West;6889.76
Fairfield, City of;Upper Hunter Shire;16319.91
Fairfield, City of;Upper Lachlan Shire;16388.36
Fairfield, City of;Uralla Shire;4800.14
Fairfield, City of;Wagga Wagga, City of;16299.0
Fairfield, City of;Walcha Shire;4800.14
Fairfield, City of;Walgett Shire;4800.14
Fairfield, City of;Warren Shire;4800.14
Fairfield, City of;Warrumbungle Shire;16175.37
Fairfield, City of;Waverley Council;7542.28
Fairfield, City of;Weddin Shire;4800.14
Fairfield, City of;Wentworth Shire;4800.14
Fairfield, City of;Willoughby, City of;16471.62
Fairfield, City of;Wingecarribee Shire;4800.14
Fairfield, City of;Wollondilly Shire;4800.14
Fairfield, City of;Wollongong, City of;16496.48
Fairfield, City of;Woollahra, Municipality of;0.0
Fairfield, City of;Yass Valley Council;16394.35
Federation Council;Forbes Shire;11970.29
Federation Council;Georges River Council;0.0
Federation Council;Gilgandra Shire;15185.89
Federation Council;Glen Innes Severn Council;14835.99
Federation Council;Goulburn Mulwaree Council;15156.63
Federation Council;Greater Hume Shire;15403.95
Federation Council;Griffith, City of;7542.28
Federation Council;Gunnedah Shire;11970.29
Federation Council;Gwydir Shire;11970.29
Federation Council;Hawkesbury, City of;7542.28
Federation Council;Hay Shire;11970.29
Federation Council;Hills Shire, The;15023.21
Federation Council;Hilltops Council;0.0
Federation Council;Hornsby Shire;11970.29
Federation Council;Hunter's Hill, Municipality of;941.32
Federation Council;Inner West Council;0.0
Federation Council;Inverell Shire;11970.29
Federation Council;Junee Shire;11970.29
Federation Council;Kempsey Shire;14815.95
Federation Council;Kiama, Municipality of;7542.28
Federation Council;Ku-ring-gai Council;0.0
Federation Council;Kyogle Council;0.0
Federation Council;Lachlan Shire;11970.29
Federation Council;Lake Macquarie, City of;7542.28
Federation Council;Lane Cove, Municipality of;7542.28
Federation Council;Leeton Shire;11970.29
Federation Council;Lismore, City of;7542.28
Federation Council;Lithgow, City of;7542.28
Federation Council;Liverpool, City of;7542.28
Federation Council;Liverpool Plains Shire;11970.29
Federation Council;Lockhart Shire;11970.29
Federation Council;Lord Howe Island;14230.54
Federation Council;Maitland, City of;7542.28
Federation Council;Mid-Coast Council;0.0
Federation Council;Mid-Western Regional;15113.35
Federation Council;Moree Plains Shire;15031.21
Federation Council;Mosman Council;15003.36
Federation Council;Murray River Council;0.0
Federation Council;Murrumbidgee Council;15532.86
Federation Council;Muswellbrook Shire;11970.29
Federation Council;Nambucca Shire;14781.56
Federation Council;Narrandera Shire;11970.29
Federation Council;Narrabri Shire;11970.29
Federation Council;Narromine Shire;11970.29
Federation Council;Newcastle, City of;14933.48
Federation Council;Northern Beaches Council;0.0
Federation Council;North Sydney Council;0.0
Federation Council;Oberon Shire;11970.29
Federation Council;Orange, City of;1353.76
Federation Council;Parkes Shire;11970.29
Federation Council;Parramatta Council, City of;15024.4
Federation Council;Penrith, City of;7542.28
Federation Council;Port Macquarie-Hastings Council;14822.6
Federation Council;Port Stephens Council;0.0
Federation Council;Queanbeyan-Palerang Regional Council;13502.98
Federation Council;Randwick, City of;15005.09
Federation Council;Richmond Valley Council;0.0
Federation Council;Ryde, City of;15014.67
Federation Council;Singleton Council;0.0
Federation Council;Shellharbour, City of;15053.15
Federation Council;Shoalhaven, City of;7542.28
Federation Council;Snowy Monaro Regional Council;15261.86
Federation Council;Snowy Valleys Council;0.0
Federation Council;Strathfield, Municipality of;15018.78
Federation Council;Sutherland Shire;15030.68
Federation Council;Sydney, City of;7542.28
Federation Council;Tamworth Regional Council;0.0
Federation Council;Temora Shire;11970.29
Federation Council;Tenterfield Shire;11970.29
Federation Council;Tweed Shire;14660.58
Federation Council;Unincorporated Far West;834.7
Federation Council;Upper Hunter Shire;14970.42
Federation Council;Upper Lachlan Shire;15180.34
Federation Council;Uralla Shire;11970.29
Federation Council;Wagga Wagga, City of;15378.39
Federation Council;Walcha Shire;11970.29
Federation Council;Walgett Shire;11970.29
Federation Council;Warren Shire;11970.29
Federation Council;Warrumbungle Shire;15109.75
Federation Council;Waverley Council;0.0
Federation Council;Weddin Shire;11970.29
Federation Council;Wentworth Shire;11970.29
