Place 1;Place 2;Distance (km)
Bathurst Region;Newcastle, City of;211.57
Bathurst Region;Northern Beaches Council;15145.03
Bathurst Region;North Sydney Council;15145.03
Bathurst Region;Oberon Shire;12824.16
Bathurst Region;Orange, City of;16082.51
Bathurst Region;Parkes Shire;12824.16
Bathurst Region;Parramatta Council, City of;146.61
Bathurst Region;Penrith, City of;16319.96
Bathurst Region;Port Macquarie-Hastings Council;352.32
Bathurst Region;Port Stephens Council;15145.03
Bathurst Region;Queanbeyan-Palerang Regional Council;2229.99
Bathurst Region;Randwick, City of;170.95
Bathurst Region;Richmond Valley Council;15145.03
Bathurst Region;Ryde, City of;155.67
Bathurst Region;Singleton Council;15145.03
Bathurst Region;Shellharbour, City of;187.38
Bathurst Region;Shoalhaven, City of;16319.96
Bathurst Region;Snowy Monaro Regional Council;353.17
Bathurst Region;Snowy Valleys Council;15145.03
Bathurst Region;Strathfield, Municipality of;156.22
Bathurst Region;Sutherland Shire;160.0
Bathurst Region;Sydney, City of;16319.96
Bathurst Region;Tamworth Regional Council;15145.03
Bathurst Region;Temora Shire;12824.16
Bathurst Region;Tenterfield Shire;12824.16
Bathurst Region;Tweed Shire;655.85
Bathurst Region;Unincorporated Far West;15435.21
Bathurst Region;Upper Hunter Shire;212.25
Bathurst Region;Upper Lachlan Shire;119.41
Bathurst Region;Uralla Shire;12824.16
Bathurst Region;Wagga Wagga, City of;285.48
Bathurst Region;Walcha Shire;12824.16
Bathurst Region;Walgett Shire;12824.16
