miejsce_1;miejsce_2;długość połączenia;przepustowość
Coonamble Shire;Gilgandra Shire;80.54;4013.5
Coonamble Shire;Warren Shire;98.3;3141.0
Cootamundra-Gundagai Regional Council;Hilltops Council;45.74;15328.5
Cootamundra-Gundagai Regional Council;Junee Shire;48.07;8909.0
Cowra Shire;Weddin Shire;58.15;8166.0
Cowra Shire;Hilltops Council;62.22;15989.0
Central Coast Council;Cumberland City Council;56.46;291017.5
Dubbo Regional Council;Gilgandra Shire;69.06;29608.5
Dubbo Regional Council;Warren Shire;95.18;28736.0
Dungog Shire;Port Stephens Council;38.36;42408.5
Dungog Shire;Maitland, City of;41.4;49883.5
Edward River Council;Murray River Council;62.89;10653.0
Edward River Council;Hay Shire;74.02;5669.0
Eurobodalla Shire;Queanbeyan-Palerang Regional Council;92.33;51948.5
Eurobodalla Shire;Snowy Monaro Regional Council;105.27;31129.5
Federation Council;Lockhart Shire;60.18;8109.0
Federation Council;Greater Hume Shire;80.31;12028.0
Forbes Shire;Weddin Shire;55.62;6463.5
Bland Shire;Forbes Shire;73.82;7433.0
Gilgandra Shire;Warrumbungle Shire;76.17;6760.0
Gilgandra Shire;Narromine Shire;79.32;5327.5
Glen Innes Severn Council;Tenterfield Shire;74.79;7870.5
Glen Innes Severn Council;Inverell Shire;76.42;13392.0
Goulburn Mulwaree Council;Shoalhaven, City of;57.48;70292.0
Goulburn Mulwaree Council;Upper Lachlan Shire;69.25;20283.5
Greater Hume Shire;Lockhart Shire;71.73;7238.0
Greater Hume Shire;Wagga Wagga, City of;72.63;39383.0
Griffith, City of;Leeton Shire;44.54;19269.0
Griffith, City of;Murrumbidgee Council;59.77;15219.5
Gunnedah Shire;Tamworth Regional Council;63.95;37999.5
Gunnedah Shire;Liverpool Plains Shire;74.0;10240.0
Gwydir Shire;Inverell Shire;69.55;11381.5
Gwydir Shire;Moree Plains Shire;87.02;8830.5
Hawkesbury, City of;Penrith, City of;51.68;142435.5
Hay Shire;Murrumbidgee Council;68.28;3117.5
Griffith, City of;Hay Shire;112.6;14984.0
Hilltops Council;Weddin Shire;55.05;11431.0
Bland Shire;Hilltops Council;70.02;12400.5
Armidale Regional Council;Inverell Shire;97.73;23488.5
Inverell Shire;Uralla Shire;103.28;11912.0
Junee Shire;Temora Shire;47.09;6224.5
Coolamon Shire;Junee Shire;47.73;5400.0
Kempsey Shire;Nambucca Shire;39.36;25547.5
Kempsey Shire;Port Macquarie-Hastings Council;51.68;58725.0
Kiama, Municipality of;Wingecarribee Shire;49.78;37891.5
Kiama, Municipality of;Shoalhaven, City of;54.59;65802.5
Kyogle Council;Richmond Valley Council;48.08;16462.0
Kyogle Council;Tweed Shire;71.55;53375.5
Forbes Shire;Lachlan Shire;109.82;7706.5
Lachlan Shire;Parkes Shire;111.16;10227.5
Lake Macquarie, City of;Maitland, City of;36.02;152035.5
Lake Macquarie, City of;Port Stephens Council;43.82;144560.5
Coolamon Shire;Leeton Shire;66.23;7918.5
Leeton Shire;Murrumbidgee Council;77.21;7402.5
Lismore, City of;Richmond Valley Council;39.37;33949.5
Lismore, City of;Tweed Shire;73.74;70863.0
Lithgow, City of;Oberon Shire;36.01;13211.0
Lithgow, City of;Penrith, City of;59.0;119253.0
Liverpool Plains Shire;Upper Hunter Shire;63.35;10890.0
Liverpool Plains Shire;Muswellbrook Shire;82.09;11954.0
Lockhart Shire;Narrandera Shire;59.11;4508.5
Lockhart Shire;Wagga Wagga, City of;59.79;35464.0
Maitland, City of;Singleton Council;40.06;57401.5
Central Coast Council;Maitland, City of;79.07;218411.0
Dungog Shire;Mid-Coast Council;49.16;53060.0
Mid-Coast Council;Port Stephens Council;82.55;85927.5
Bathurst Region;Mid-Western Regional;77.97;34640.0
Mid-Western Regional;Orange, City of;95.74;34612.5
Moree Plains Shire;Narrabri Shire;127.71;12727.0
Inverell Shire;Moree Plains Shire;156.14;15302.0
Hay Shire;Murray River Council;113.56;7866.0
Murray River Council;Murrumbidgee Council;150.0;8101.5
Edward River Council;Murrumbidgee Council;89.31;5904.5
Murrumbidgee Council;Narrandera Shire;101.83;4525.5
Muswellbrook Shire;Singleton Council;41.81;20467.0
Muswellbrook Shire;Upper Hunter Shire;46.02;15293.0
Nambucca Shire;Port Macquarie-Hastings Council;81.59;53584.5
Clarence Valley Council;Nambucca Shire;109.4;37261.0
Griffith, City of;Narrandera Shire;74.12;16392.0
Narrandera Shire;Wagga Wagga, City of;77.16;36653.5
Gunnedah Shire;Narrabri Shire;85.15;12816.0
Gwydir Shire;Narrabri Shire;118.13;8806.5
Narromine Shire;Warren Shire;70.85;4455.0
Narromine Shire;Parkes Shire;100.65;10360.5
Dungog Shire;Newcastle, City of;58.21;89207.0
Central Coast Council;Newcastle, City of;69.01;257734.5
Central Coast Council;North Sydney Council;47.21;207773.0
Blue Mountains, City of;Oberon Shire;50.6;41850.5
Bathurst Region;Oberon Shire;54.02;24573.5
Cowra Shire;Orange, City of;72.49;28118.0
Orange, City of;Parkes Shire;85.39;28936.5
Parkes Shire;Weddin Shire;82.58;8984.5
Cowra Shire;Parkes Shire;89.94;13542.5
Camden Council;Parramatta Council, City of;39.64;188027.0
Central Coast Council;Parramatta Council, City of;53.14;301662.5
Penrith, City of;Strathfield, Municipality of;38.55;131628.5
Mid-Coast Council;Port Macquarie-Hastings Council;87.27;91670.5
Port Macquarie-Hastings Council;Walcha Shire;104.24;44889.0
Port Stephens Council;Singleton Council;65.85;49926.5
Queanbeyan-Palerang Regional Council;Yass Valley Council;53.77;40292.5
Goulburn Mulwaree Council;Queanbeyan-Palerang Regional Council;71.41;47678.5
Byron Shire;Richmond Valley Council;70.47;29840.5
Richmond Valley Council;Tenterfield Shire;96.34;15187.5
Penrith, City of;Ryde, City of;38.88;173393.5
Dungog Shire;Singleton Council;56.68;17059.0
Lake Macquarie, City of;Singleton Council;66.62;119211.0
Shellharbour, City of;Wingecarribee Shire;47.47;64490.0
Shellharbour, City of;Sutherland Shire;56.73;153241.0
Shoalhaven, City of;Wingecarribee Shire;58.91;80620.0
Shellharbour, City of;Shoalhaven, City of;63.0;92401.0
Queanbeyan-Palerang Regional Council;Snowy Monaro Regional Council;122.56;42485.0
Snowy Monaro Regional Council;Yass Valley Council;159.3;19473.5
Bega Valley Shire;Snowy Valleys Council;98.63;25416.5
Eurobodalla Shire;Snowy Valleys Council;119.99;27742.0
Central Coast Council;Strathfield, Municipality of;55.88;196094.5
Sutherland Shire;Willoughby, City of;35.54;152912.0
Sutherland Shire;Wollongong, City of;39.93;222387.5
Penrith, City of;Sydney, City of;49.06;214648.0
Tamworth Regional Council;Uralla Shire;62.56;34520.5
Tamworth Regional Council;Walcha Shire;65.87;33043.0
Cootamundra-Gundagai Regional Council;Temora Shire;50.37;8718.5
Hilltops Council;Temora Shire;74.95;12644.0
Clarence Valley Council;Tenterfield Shire;103.52;30462.5
Kyogle Council;Tenterfield Shire;107.07;8084.5
Ballina Shire;Tweed Shire;74.86;71844.0
Richmond Valley Council;Tweed Shire;110.58;60478.5
Cobar Shire;Unincorporated Far West;381.48;2537.5
Bourke Shire;Unincorporated Far West;386.8;1678.0
Singleton Council;Upper Hunter Shire;74.67;19403.0
Mid-Coast Council;Upper Hunter Shire;82.85;55404.0
Oberon Shire;Upper Lachlan Shire;83.98;7047.0
Upper Lachlan Shire;Yass Valley Council;87.14;12897.5
Uralla Shire;Walcha Shire;39.3;4493.5
Kempsey Shire;Uralla Shire;101.94;18329.5
Coolamon Shire;Wagga Wagga, City of;53.03;35997.0
Temora Shire;Wagga Wagga, City of;75.54;36821.5
Kempsey Shire;Walcha Shire;87.23;16852.0
Upper Hunter Shire;Walcha Shire;111.44;8622.5
Coonamble Shire;Walgett Shire;106.39;4492.5
Narrabri Shire;Walgett Shire;162.77;8978.0
Gilgandra Shire;Warren Shire;81.48;3422.5
Lachlan Shire;Warren Shire;139.29;4322.0
Gunnedah Shire;Warrumbungle Shire;90.96;11077.0
Liverpool Plains Shire;Warrumbungle Shire;101.36;8388.0
Temora Shire;Weddin Shire;79.4;4821.0
Cootamundra-Gundagai Regional Council;Weddin Shire;84.94;7505.5
Broken Hill, City of;Wentworth Shire;241.87;12520.5
Murray River Council;Wentworth Shire;249.11;10151.5
Central Coast Council;Willoughby, City of;44.22;211104.5
Wingecarribee Shire;Wollondilly Shire;45.27;53335.0
Wingecarribee Shire;Wollongong, City of;48.83;133636.5
Penrith, City of;Wollondilly Shire;42.57;135812.5
Sutherland Shire;Wollondilly Shire;50.59;142086.0
Cootamundra-Gundagai Regional Council;Yass Valley Council;83.86;14342.0
Goulburn Mulwaree Council;Yass Valley Council;86.57;24667.0
Northern Beaches Council;Southern Cross Cable Network;0.0;13400000.0
Sydney, City of;AJC;0.0;10000000.0
Northern Beaches Council;APNG-2;0.0;1100.0
Northern Beaches Council;Gondwana-1;0.0;640000.0
Waverley Council;Telstra Endeavour;0.0;80000.0
Northern Beaches Council;PPC-1;0.0;1920000.0
Sydney, City of;Tasman Global Access;0.0;20000000.0
Waverley Council;Hawaiki Cable;0.0;30000000.0
Waverley Council;Indigo Central;0.0;40000000.0
Waverley Council;Coral Sea Cable System;0.0;40000000.0
Northern Beaches Council;JGA South;0.0;36000000.0
Northern Beaches Council;Southern Cross NEXT;0.0;72000000.0
